List;Item;ItemType;Sentence;Familiarity_young;Familiarity_old;Literality;CondTarget;CondOther;IdiomType;Timing_verb;Timing_noun_mid;Timing_noun_last;SentLength
1;44;control;Toen vouwde hij de krant.;;;;control;control;two-noun;229;NA;982;1481
2;44;control;Toen verscheurde hij de krant.;;;;control;control;two-noun;232;NA;1374;1961
1;45;control;Toen betaalde ze de boodschappen.;;;;control;control;two-noun;260;NA;1060;1798
2;45;control;Toen tilde ze de boodschappen.;;;;control;control;two-noun;417;NA;1144;1868
1;46;control;Toen tekende ze een bloem.;;;;control;control;two-noun;320;NA;1110;1508
2;46;control;Toen plukte ze een bloem.;;;;control;control;two-noun;346;NA;1098;1485
1;47;control;Toen schreef hij een brief.;;;;control;control;two-noun;196;NA;1003;1479
2;47;control;Toen las hij een brief.;;;;control;control;two-noun;236;NA;912;1367
1;48;control;Toen poetste hij de schoen.;;;;control;control;two-noun;285;NA;923;1361
2;48;control;Toen bekeek hij de schoen.;;;;control;control;two-noun;324;NA;1112;1565
1;49;control;Toen dronk ze haar koffie.;;;;control;control;two-noun;308;NA;1033;1429
2;49;control;Toen morste ze haar koffie.;;;;control;control;two-noun;275;NA;1173;1568
1;50;control;Toen hakte hij het hout.;;;;control;control;two-noun;250;NA;1050;1590
2;50;control;Toen stapelde hij het hout.;;;;control;control;two-noun;266;NA;1356;1820
1;51;control;Toen boorde ze een gat.;;;;control;control;two-noun;370;NA;1066;1565
2;51;control;Toen groef ze een gat.;;;;control;control;two-noun;255;NA;948;1446
1;52;control;Toen ving hij het konijn.;;;;control;control;two-noun;275;NA;1012;1504
2;52;control;Toen aaide hij het konijn.;;;;control;control;two-noun;346;NA;1210;1722
1;53;control;Toen schminkte hij zijn gezicht.;;;;control;control;two-noun;272;NA;1191;1845
2;53;control;Toen waste hij zijn gezicht.;;;;control;control;two-noun;276;NA;1182;1859
1;54;control;Toen borstelde ze de hond.;;;;control;control;two-noun;373;NA;1320;1759
2;54;control;Toen riep ze de hond.;;;;control;control;two-noun;233;NA;977;1460
1;55;control;Toen gooide hij de bal.;;;;control;control;two-noun;225;NA;1091;1483
2;55;control;Toen schopte hij de bal.;;;;control;control;two-noun;244;NA;1133;1428
1;56;control;Toen sloopte hij de muur.;;;;control;control;two-noun;253;NA;1156;1691
2;56;control;Toen verfde hij de muur.;;;;control;control;two-noun;230;NA;1094;1603
1;57;control;Toen bakte ze de taart.;;;;control;control;two-noun;356;NA;1045;1594
2;57;control;Toen sneed ze de taart.;;;;control;control;two-noun;231;NA;1044;1535
1;58;control;Toen vulde hij zijn glas.;;;;control;control;two-noun;249;NA;1066;1610
2;58;control;Toen leegde hij zijn glas.;;;;control;control;two-noun;251;NA;1111;1687
1;59;control;Toen knipte ze haar haren.;;;;control;control;two-noun;354;NA;1295;1981
2;59;control;Toen vlocht ze haar haren.;;;;control;control;two-noun;227;NA;1028;1660
1;60;control;Toen kuste hij zijn vrouw.;;;;control;control;two-noun;398;NA;1209;1688
2;60;control;Toen belde hij zijn vrouw.;;;;control;control;two-noun;334;NA;1127;1638
1;61;practice;Toen stak zij hem een hart onder de riem.;;;;figuurlijk;letterlijk;three-noun;201;1000;1729;2104
2;61;practice;Toen stak zij hem een hart onder de riem.;;;;figuurlijk;ongerelateerd;three-noun;201;1000;1729;2104
1;62;practice;Toen hield zij hem onder de duim.;;;;figuurlijk;letterlijk;two-noun;216;NA;1370;1757
2;62;practice;Toen hield zij hem onder de duim.;;;;figuurlijk;ongerelateerd;two-noun;216;NA;1370;1757
1;63;practice;Toen droeg ze een sjaal.;;;;practice;practice;two-noun;321;NA;919;1388
2;63;practice;Toen breidde ze een sjaal.;;;;practice;practice;two-noun;352;NA;1224;1844
1;64;practice;Toen stofzuigde hij de vloer.;;;;practice;practice;two-noun;221;NA;1321;1785
2;64;practice;Toen veegde hij de vloer.;;;;practice;practice;two-noun;306;NA;1116;1637
